;MM_clasico;;;;;;;;;;;;;;;;;;;;;;;
;Tiempo (µs);;;;;;;;;;;;;;;;;;;;;;;
Tamaño Matriz;100;;;;250;;;;500;;;;1000;;;;2000;;;;5000;;;
Numero Hilos;1;2;4;8;1;2;4;8;1;2;4;8;1;2;4;8;1;2;4;8;1;2;4;8
Medida 1;832396;569034;314939;111210;990837;690280;314357;977601;1151714;420339;677728;478131;8434854;10289192;2480118;2661419;96837852;102854131;107502323;118989017;810786339;1117868299;2076221344;2101507562
Medida 2;841348;574877;323344;120127;1011892;709543;362171;997047;514697;688993;1001346;704989;7978788;8134965;2143239;2616510;108985715;101107035;107374103;116227469;1037824159;1859962212;2087866049;2085263402
Medida 3;849453;583009;330045;125354;38936;722770;375878;12496;791884;978608;456790;999396;7891811;7948517;2232425;2506109;146044730;98142638;109727166;123330509;810607444;1128761343;2080629451;2091534989
Medida 4;858624;612636;336110;130128;62861;737580;388116;58931;1161946;1300311;761692;291305;8543637;9393175;1795170;2331621;90350322;99520926;110332843;42534887;1038752890;1867110322;2074479728;2112677651
Medida 5;870560;620576;342240;135868;84728;767678;403075;70666;396097;537891;1088963;582425;8415172;8751873;2275676;2352597;94697192;96912086;118289903;45526327;810992287;1121265478;2073879978;2104975367
Medida 6;889939;627619;349068;142215;106802;784129;416228;94188;677491;902160;385161;814516;8262247;9445244;2221579;2086525;96050400;100837176;134531821;50316858;1037594292;1860452234;2081614278;2089005609
Medida 7;897368;636955;357502;147745;147296;796743;465468;110012;1187637;1132875;691611;1112651;7357187;8831216;1705965;2087409;94727242;100928300;101021805;50642638;811398021;1129810289;2084346789;2096746789
Medida 8;905511;647792;369881;153285;167677;822303;475609;121553;629993;409915;924255;305908;8874118;9225188;2351168;2060718;92148715;96035956;107825490;53488997;1037149650;1850059657;2091978989;2103946734
Medida 9;917970;654112;382554;158388;187961;837069;485793;162452;1224117;704363;1204386;592966;8794850;8222908;2030271;2287283;92180580;98023865;109441247;55103928;811365975;1130732165;2085779124;2088654211
Medida 10;924985;660009;396987;163304;208728;867954;495762;173309;504740;936607;505361;816024;8365953;7653907;2791022;2093966;96198869;97377761;108970159;53836860;1037862477;1842503899;2090450133;2086697812
Medida 11;934569;665503;405142;169526;228653;887039;561981;195425;844417;238514;785159;1106172;7939684;8283331;2529389;2011202;95820522;99321795;104897176;55153933;810418619;1106043889;2098710001;2080813456
Medida 12;943810;672990;412032;175715;257535;906189;577405;221352;1143795;506399;1176931;384996;8395711;8889100;2121595;2092079;95512709;96381756;107433959;55017791;1038998233;1846151199;2079012210;2085621344
Medida 13;954650;678707;420994;181028;278187;931035;588904;262563;588095;872948;435662;596874;11652576;10198560;1782023;2081908;90389451;100743071;121395929;54729490;811127774;1121162255;2095602131;2119012110
Medida 14;961091;722115;430059;188471;300346;958209;601984;275338;960145;1292709;729839;913607;8321012;7946080;2193535;2185378;98681635;104662170;133103160;55355641;1036726099;1841656731;2093881234;2113147856
Medida 15;969016;731991;437677;196642;322954;987658;616599;292946;1305553;585691;990435;1103786;7711156;8638689;2021846;2394656;92780737;98926797;110821542;55762942;809874257;1138023967;2076119999;2105987911
Medida 16;981575;738520;447748;203358;343171;1009100;661408;312630;592818;857873;205186;396059;8489834;8129467;1698705;2525560;96643401;97242915;106520196;55624003;1038208880;1856603047;2080812345;2101802345
Medida 17;991724;744088;462500;214273;362948;32225;673911;364084;944685;1135417;500427;611003;9301650;7490189;2623817;2254606;108184089;110288095;111399391;55349477;810409857;1116122034;2078989087;2096654321
Medida 18;4801;749928;469576;222790;382130;48804;686149;376666;1199310;396269;791037;903676;9256632;7956413;2433123;2319918;98805796;98023703;108692360;55489324;1036711981;1858464532;2076221344;2092148765
Medida 19;12790;755052;480207;228831;404702;75967;695666;393642;424509;635449;1067096;1217471;8048599;7635648;1982685;2123012;98232105;101107036;109391186;55070266;810368236;1125038198;2073440988;2107990789
Medida 20;19969;761717;488853;234594;428133;91953;706371;406022;702617;897569;377286;505507;8916313;7803005;1500124;2124480;106593131;98142639;106103005;55478025;1037727645;1845411001;2089122345;2100450987
Medida 21;26808;770646;495679;240448;453115;126140;766132;460072;972970;1197631;675548;833551;10305825;8239317;2807078;1892805;97406898;99520927;107210956;55090690;811377156;1123467889;2097783456;2098652134
Medida 22;36610;778070;503164;245813;474731;155488;776965;471449;1289146;450778;1026348;1189741;9039527;7958768;2684311;2485174;97326733;96912087;106702555;53066006;1038729803;1855546771;2093298799;2116777789
Medida 23;42914;786408;509966;251161;500326;172250;785655;484374;675320;709761;289939;485219;7885135;8210487;2486459;2714107;96658041;100837175;107413687;53533985;810282118;1119645612;2099017654;2113456789
Medida 24;48937;800047;520608;256547;523694;192394;796211;501638;1039305;1030611;573473;816014;8916026;7585120;2307599;2623363;97501371;100928299;111820822;55839406;1037634727;1841148008;2086772211;2107898654
Medida 25;54929;812221;529104;261831;559737;205924;862150;515819;389182;327619;809062;1083179;9604301;8994322;2133532;2140252;102563116;96035955;112166167;55752213;811715349;1123320877;2096778777;2112349987
Medida 26;61871;819959;535133;270281;581903;220157;877635;565813;699616;602968;1105069;313974;8037294;7146138;2117465;1726277;96134269;98023866;112079595;59529340;1036978712;1860113221;2080013432;2118901234
Medida 27;72607;826173;540541;279122;607090;262556;900222;576196;1135788;1253193;405384;623085;7692364;7611635;2182673;2418008;91989611;97377760;111800587;59651729;811197834;1131075412;2099087632;2097865210
Medida 28;83662;835586;546239;286740;629385;275501;909848;592857;491412;714469;699665;887407;9071123;7974820;2120068;3195467;93476179;99321796;114846144;60325046;1038483825;1865002952;2084599999;2089208765
Medida 29;94615;842729;552158;294219;654530;287310;922484;609931;842793;1007445;975643;1179085;7604097;7058115;1884921;2534648;101862591;96381757;110814289;57138690;811324278;1139932190;2072112345;2094321987
Medida 30;102983;849774;558086;307327;677038;300957;961880;658741;1125516;324229;1199056;405213;8786825;7887671;2606293;2197224;98198018;100743072;111920990;55253581;1037223935;1846900181;2090046789;2108980000
Promedio;539602,8333;717628,1;441604,5333;203211,3667;399267,5333;528763,5;637067,2333;377193,7667;853576,9333;768320,1333;750517,9333;741797,6667;8596476,7;8317768,667;2208129,133;2304142,7;98766067,33;99422084,83;111385018,5;60940302,27;924328428,4;1488978529;2085622288;2100768419
